product_name,price,image_url,product_link,source_page
Emporio Armani 2-pack logo short sleeve lounge t-shirts in black,SGD$126.99,https://images.asos-media.com/products/emporio-armani-2-pack-logo-short-sleeve-lounge-t-shirts-in-black/208982922-1-blackblack/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/emporio-armani/emporio-armani-2-pack-logo-short-sleeve-lounge-t-shirts-in-black/prd/208982922#colourWayId-208982924,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Hollister 3 pack classic fit chest logo t-shirt in neutral,SGD$64.99,https://images.asos-media.com/products/hollister-3-pack-classic-fit-chest-logo-t-shirt-in-neutral/209041720-1-neutral/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/hollister/hollister-3-pack-classic-fit-chest-logo-t-shirt-in-neutral/prd/209041720#colourWayId-209041727,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 2 pack relaxed crew neck t-shirts in black and white,SGD$40.99,https://images.asos-media.com/products/asos-design-essentials-2-pack-relaxed-crew-neck-t-shirts-in-black-and-white/209198990-1-blackwhite/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/asos-design/asos-design-essentials-2-pack-relaxed-crew-neck-t-shirts-in-black-and-white/prd/209198990#colourWayId-209198996,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 5 pack oversized t-shirts in multi,SGD$102.99,https://images.asos-media.com/products/asos-design-essentials-5-pack-oversized-t-shirts-in-multi/209084428-1-multi/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/asos-design/asos-design-essentials-5-pack-oversized-t-shirts-in-multi/prd/209084428#colourWayId-209084430,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Jack & Jones 2 pack kane loose fit chino in black & grey,SGD$102.99,https://images.asos-media.com/products/jack-jones-2-pack-kane-loose-fit-chino-in-black-grey/208938634-1-black/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/jack-jones/jack-jones-2-pack-kane-loose-fit-chino-in-black-grey/prd/208938634#colourWayId-208938635,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Jack & Jones 2 pack kane relaxed fit chino in beige & navy,SGD$102.99,https://images.asos-media.com/products/jack-jones-2-pack-kane-relaxed-fit-chino-in-beige-navy/208938522-1-crockery/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/jack-jones/jack-jones-2-pack-kane-relaxed-fit-chino-in-beige-navy/prd/208938522#colourWayId-208938523,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Jack & Jones 2 pack cargo shorts in black and cream,SGD$85.99,https://images.asos-media.com/products/jack-jones-2-pack-cargo-shorts-in-black-and-cream/207920981-1-blackmoonbeam/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/jack-jones/jack-jones-2-pack-cargo-shorts-in-black-and-cream/prd/207920981#colourWayId-207920982,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN pyjama set in grey waffle,SGD$64.99,https://images.asos-media.com/products/asos-design-pyjama-set-in-grey-waffle/208313569-1-grey/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/asos-design/asos-design-pyjama-set-in-grey-waffle/prd/208313569#colourWayId-208313570,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
adidas Training 3 pack ankle socks in white,SGD$21.99,,https://www.asos.com/adidas-performance/adidas-training-3-pack-ankle-socks-in-white/prd/203407209#colourWayId-203407210,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
adidas Originals adicolor Trefoil 3 pack crew socks in white,SGD$25.99,,https://www.asos.com/adidas-originals/adidas-originals-adicolor-trefoil-3-pack-crew-socks-in-white/prd/207980095#colourWayId-207980096,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
adidas Running essentials crew socks in white and grey 3 pack,SGD$21.99,,https://www.asos.com/adidas-performance/adidas-running-essentials-crew-socks-in-white-and-grey-3-pack/prd/207530820#colourWayId-207530826,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
adidas Running Essentials ankle socks in black and grey 3 pack,SGD$19.99,,https://www.asos.com/adidas-performance/adidas-running-essentials-ankle-socks-in-black-and-grey-3-pack/prd/207196918#colourWayId-207196925,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
"New Balance 3 pack embroidered logo crew socks in grey, pink and blue",SGD$27.99,,https://www.asos.com/new-balance/new-balance-3-pack-embroidered-logo-crew-socks-in-grey-pink-and-blue/prd/208242213#colourWayId-208242215,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Paul Smith 3 pack trunks in black,SGD$89.99,,https://www.asos.com/ps-paul-smith/paul-smith-3-pack-trunks-in-black/prd/208474912#colourWayId-208474914,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Calvin Klein Micro Stretch 3 pack boxer briefs in grey/cobalt/light blue,SGD$100.99,,https://www.asos.com/calvin-klein/calvin-klein-micro-stretch-3-pack-boxer-briefs-in-grey-cobalt-light-blue/prd/208892848#colourWayId-208892865,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
GANT 3 pack briefs in white,SGD$85.99,,https://www.asos.com/gant/gant-3-pack-briefs-in-white/prd/208956461#colourWayId-208956465,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Jack & Jones 2 pack chinos in beige & dark grey,SGD$124.99,,https://www.asos.com/jack-jones/jack-jones-2-pack-chinos-in-beige-dark-grey/prd/207750937#colourWayId-207750938,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Jack & Jones 2 pack linen blend shorts in khaki and grey,SGD$77.99,,https://www.asos.com/jack-jones/jack-jones-2-pack-linen-blend-shorts-in-khaki-and-grey/prd/207994265#colourWayId-207994266,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Jack & Jones 2 pack linen blend shorts in navy and beige,SGD$77.99,,https://www.asos.com/jack-jones/jack-jones-2-pack-linen-blend-shorts-in-navy-and-beige/prd/207994255#colourWayId-207994256,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Jack & Jones Intelligence 2 pack slim tapered chino in dusty olive & black,SGD$113.99,,https://www.asos.com/jack-jones/jack-jones-intelligence-2-pack-slim-tapered-chino-in-dusty-olive-black/prd/202083657#colourWayId-202083658,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 2 pack oversized t-shirts in dark green and cream,SGD$40.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-oversized-t-shirts-in-dark-green-and-cream/prd/208387955#colourWayId-208387959,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Topman 3 pack regular fit t-shirt in white,SGD$55.99,,https://www.asos.com/topman/topman-3-pack-regular-fit-t-shirt-in-white/prd/208057008#colourWayId-208057009,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 2 pack oversized t-shirts in stone and black,SGD$40.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-oversized-t-shirts-in-stone-and-black/prd/209084616#colourWayId-209084618,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 2 pack oversized long sleeve t-shirts in black and grey marl,SGD$44.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-oversized-long-sleeve-t-shirts-in-black-and-grey-marl/prd/209084586#colourWayId-209084588,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
adidas Running essentials trainer socks in black and grey 3 pack,SGD$19.99,,https://www.asos.com/adidas-performance/adidas-running-essentials-trainer-socks-in-black-and-grey-3-pack/prd/207530762#colourWayId-207530771,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
adidas Running essentials crew socks in black and grey 3 pack,SGD$21.99,,https://www.asos.com/adidas-performance/adidas-running-essentials-crew-socks-in-black-and-grey-3-pack/prd/207530812#colourWayId-207530821,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
adidas Running Essentials ankle socks in white and grey 3 pack,SGD$19.99,,https://www.asos.com/adidas-performance/adidas-running-essentials-ankle-socks-in-white-and-grey-3-pack/prd/207196963#colourWayId-207196966,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
adidas Originals 6 pack socks in brown,SGD$32.99,,https://www.asos.com/adidas-originals/adidas-originals-6-pack-socks-in-brown/prd/208361685#colourWayId-208361686,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Boss Bodywear 3-pack power trunks in black,SGD$89.99,,https://www.asos.com/boss-bodywear/boss-bodywear-3-pack-power-trunks-in-black/prd/208458689#colourWayId-208458690,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
New Balance 3 pack everyday crew socks in off white,SGD$29.99,,https://www.asos.com/new-balance/new-balance-3-pack-everyday-crew-socks-in-off-white/prd/208242289#colourWayId-208242291,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN 2 pack boxers with stripe waistband in blue,SGD$36.99,,https://www.asos.com/asos-design/asos-design-2-pack-boxers-with-stripe-waistband-in-blue/prd/208818050#colourWayId-208818070,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
adidas Originals 3 pack ruffle socks in brown,SGD$38.99,,https://www.asos.com/adidas-originals/adidas-originals-3-pack-ruffle-socks-in-brown/prd/208420851#colourWayId-208420860,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 2 pack oversized t-shirts in stone and khaki,SGD$40.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-oversized-t-shirts-in-stone-and-khaki/prd/209084429#colourWayId-209084432,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
"ASOS DESIGN Essentials 3 pack oversized t-shirts in cream, stone and navy",SGD$62.99,,https://www.asos.com/asos-design/asos-design-essentials-3-pack-oversized-t-shirts-in-cream-stone-and-navy/prd/209084452#colourWayId-209084455,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 2 pack oversized t-shirts in white and khaki,SGD$62.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-oversized-t-shirts-in-white-and-khaki/prd/209084481#colourWayId-209084488,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 2 pack relaxed t-shirts in white and brown,SGD$40.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-relaxed-t-shirts-in-white-and-brown/prd/209084528#colourWayId-209084529,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
